2 [140202957985728] INFO perfrun.launcher <> - Launcher main begin
3 [140202957985728] INFO perfrun.launcher <> - MessageCatalogInit finished
3 [140202957985728] INFO perfrun.launcher <> - Launcher instance created
3 [140202957985728] INFO perfrun.launcher <> - argc = 6; cmdline = /opt/intel/oneapi/advisor/2025.0/bin64/advixe-runss --ui-output-format xml --ui-output-fd 111 --context-value-list 
43 [140202957985728] INFO perfrun.launcher <> - create msngr2::ICliToolContext
44 [140202957985728] INFO perfrun.launcher <> - create file finder object
45 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
45 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
45 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 167
46 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
46 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
46 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = false
46 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = false
46 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = false
46 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = true
46 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
47 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = false
47 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
47 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
47 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
47 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
47 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
48 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
48 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
48 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
48 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
49 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
49 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 5.15.167.4-microsoft-standard-WSL2
49 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
49 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
50 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
50 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
50 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = Microsoft Hv
50 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 4
50 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
51 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
51 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
51 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
51 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
52 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
52 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
52 [140202957985728] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
53 [140202957985728] INFO perfrun.launcher <> - Application exit code: 0
53 [140202957985728] INFO perfrun.launcher <> - Exit code: 0
