1 [139937475356608] INFO perfrun.launcher <> - Launcher main begin
1 [139937475356608] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [139937475356608] INFO perfrun.launcher <> - Launcher instance created
1 [139937475356608] INFO perfrun.launcher <> - argc = 6; cmdline = /opt/intel/oneapi/advisor/2025.0/bin64/advixe-runss --ui-output-format xml --ui-output-fd 116 --context-value-list 
-73027 [139937475356608] INFO perfrun.launcher <> - create msngr2::ICliToolContext
-73028 [139937475356608] INFO perfrun.launcher <> - create file finder object
-73030 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
-73030 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
-73031 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 167
-73031 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
-73031 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
-73031 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = false
-73032 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = false
-73032 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = false
-73032 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = true
-73032 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
-73032 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = false
-73033 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
-73033 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
-73033 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
-73033 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
-73033 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
-73034 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
-73034 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
-73034 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
-73034 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
-73035 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
-73035 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 5.15.167.4-microsoft-standard-WSL2
-73035 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
-73035 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
-73035 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
-73036 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
-73036 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = Microsoft Hv
-73036 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 4
-73036 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
-73037 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
-73037 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
-73037 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
-73037 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
-73037 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
-73038 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
-73038 [139937475356608] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
-73038 [139937475356608] INFO perfrun.launcher <> - Application exit code: 0
-73038 [139937475356608] INFO perfrun.launcher <> - Exit code: 0
