run,n,thread_x,thread_y,time_cpu,time_gpu
1,1000,1,1,426.1,1624.7
2,1000,1,1,424.4,1325.5
3,1000,1,1,424.0,1367.1
1,1000,1,2,429.2,655.3
2,1000,1,2,429.5,660.8
3,1000,1,2,428.2,663.3
1,1000,1,4,451.0,300.8
2,1000,1,4,424.8,304.1
3,1000,1,4,428.0,319.8
1,1000,1,8,425.8,168.8
2,1000,1,8,424.3,155.2
3,1000,1,8,441.0,157.1
1,1000,1,16,425.5,129.6
2,1000,1,16,427.3,129.6
3,1000,1,16,426.4,129.5
1,1000,2,1,429.0,742.8
2,1000,2,1,429.3,690.9
3,1000,2,1,425.0,686.0
1,1000,2,2,428.2,344.4
2,1000,2,2,424.1,347.9
3,1000,2,2,425.9,340.8
1,1000,2,4,425.3,162.6
2,1000,2,4,423.3,162.7
3,1000,2,4,425.0,163.0
1,1000,2,8,426.1,89.3
2,1000,2,8,426.5,86.0
3,1000,2,8,438.0,92.8
1,1000,2,16,424.8,66.4
2,1000,2,16,423.9,105.3
3,1000,2,16,426.2,168.8
1,1000,4,1,424.1,357.8
2,1000,4,1,425.2,344.1
3,1000,4,1,423.8,343.5
1,1000,4,2,439.1,172.4
2,1000,4,2,423.3,170.8
3,1000,4,2,423.6,172.3
1,1000,4,4,423.1,86.6
2,1000,4,4,429.4,85.1
3,1000,4,4,426.5,86.4
1,1000,4,8,424.9,48.7
2,1000,4,8,425.5,70.8
3,1000,4,8,429.0,96.4
1,1000,4,16,423.2,133.9
2,1000,4,16,426.6,77.1
3,1000,4,16,427.2,72.0
1,1000,8,1,425.2,378.1
2,1000,8,1,427.0,176.7
3,1000,8,1,424.8,173.6
1,1000,8,2,424.5,88.6
2,1000,8,2,423.6,91.3
3,1000,8,2,423.9,87.0
1,1000,8,4,424.2,50.9
2,1000,8,4,424.3,73.6
3,1000,8,4,425.4,98.3
1,1000,8,8,433.2,42.1
2,1000,8,8,425.0,77.0
3,1000,8,8,427.1,68.5
1,1000,8,16,425.2,92.3
2,1000,8,16,425.8,92.2
3,1000,8,16,427.1,96.4
1,1000,16,1,428.2,311.3
2,1000,16,1,426.3,172.3
3,1000,16,1,424.3,89.8
1,1000,16,2,427.6,73.9
2,1000,16,2,425.4,98.2
3,1000,16,2,424.5,76.7
1,1000,16,4,426.3,38.5
2,1000,16,4,427.6,53.7
3,1000,16,4,427.4,82.3
1,1000,16,8,424.8,59.7
2,1000,16,8,424.6,83.1
3,1000,16,8,424.6,70.6
1,1000,16,16,423.8,80.9
2,1000,16,16,426.0,84.3
3,1000,16,16,424.6,99.9
1,10000,1,1,44205.8,132334.5
2,10000,1,1,42852.2,135344.9
3,10000,1,1,42867.9,137466.7
1,10000,1,2,42872.5,65449.3
2,10000,1,2,42842.8,65616.8
3,10000,1,2,44101.9,65677.5
1,10000,1,4,42842.7,30169.0
2,10000,1,4,42861.5,29362.7
3,10000,1,4,42863.0,30211.0
1,10000,1,8,42855.1,17965.2
2,10000,1,8,42847.5,18015.0
3,10000,1,8,42864.4,18652.8
1,10000,1,16,42855.3,16747.1
2,10000,1,16,42836.4,16757.9
3,10000,1,16,42825.3,16788.2
1,10000,2,1,42853.5,67483.3
2,10000,2,1,42884.1,73784.8
3,10000,2,1,42843.8,73926.3
1,10000,2,2,42866.3,36493.3
2,10000,2,2,42863.8,36620.6
3,10000,2,2,42853.7,36456.1
1,10000,2,4,42844.2,17359.8
2,10000,2,4,42828.4,17368.5
3,10000,2,4,42836.3,17365.4
1,10000,2,8,42871.1,10611.8
2,10000,2,8,42851.6,10475.4
3,10000,2,8,42870.5,10424.1
1,10000,2,16,42861.0,9174.6
2,10000,2,16,42861.9,9316.8
3,10000,2,16,42896.3,9176.2
1,10000,4,1,42870.9,35712.7
2,10000,4,1,42865.7,35781.2
3,10000,4,1,42878.3,35679.1
1,10000,4,2,42850.8,18012.3
2,10000,4,2,43364.5,18242.4
3,10000,4,2,42843.7,18236.4
1,10000,4,4,42872.0,9272.7
2,10000,4,4,42861.6,8973.6
3,10000,4,4,43309.2,9378.5
1,10000,4,8,44003.9,5642.6
2,10000,4,8,42899.3,5770.5
3,10000,4,8,42885.0,5519.0
1,10000,4,16,42868.8,5082.8
2,10000,4,16,42866.8,4799.1
3,10000,4,16,42862.8,4802.8
1,10000,8,1,42847.6,16556.8
2,10000,8,1,42812.5,18204.2
3,10000,8,1,42895.4,16715.1
1,10000,8,2,42881.2,8892.1
2,10000,8,2,42870.8,8849.9
3,10000,8,2,42863.3,8891.2
1,10000,8,4,42845.1,4841.8
2,10000,8,4,42851.4,4822.8
3,10000,8,4,42847.0,4800.9
1,10000,8,8,42863.1,3268.1
2,10000,8,8,42845.5,3270.6
3,10000,8,8,42846.8,3187.0
1,10000,8,16,42839.8,3434.1
2,10000,8,16,42848.3,3362.9
3,10000,8,16,43276.9,3328.3
1,10000,16,1,42849.3,9133.6
2,10000,16,1,42839.9,9086.7
3,10000,16,1,42857.9,9097.4
1,10000,16,2,42849.5,5075.0
2,10000,16,2,42860.8,4927.3
3,10000,16,2,42861.6,5106.8
1,10000,16,4,42849.7,2795.9
2,10000,16,4,42876.4,2847.4
3,10000,16,4,42874.7,2881.2
1,10000,16,8,42862.7,3055.4
2,10000,16,8,42823.1,3041.5
3,10000,16,8,42865.6,3062.1
1,10000,16,16,42857.9,3074.7
2,10000,16,16,42875.0,3106.2
3,10000,16,16,43447.5,3150.8
