1 [140144103512000] INFO perfrun.launcher <> - Launcher main begin
1 [140144103512000] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [140144103512000] INFO perfrun.launcher <> - Launcher instance created
1 [140144103512000] INFO perfrun.launcher <> - argc = 6; cmdline = /opt/intel/oneapi/advisor/2025.0/bin64/advixe-runss --ui-output-format xml --ui-output-fd 109 --context-value-list 
30 [140144103512000] INFO perfrun.launcher <> - create msngr2::ICliToolContext
30 [140144103512000] INFO perfrun.launcher <> - create file finder object
31 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
31 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
32 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 167
32 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
32 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
32 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = false
32 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = false
32 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = false
33 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = true
33 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
33 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = false
33 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
33 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
33 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
34 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
34 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
34 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
34 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
34 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
34 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
35 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
35 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 5.15.167.4-microsoft-standard-WSL2
35 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
35 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
35 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
35 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
35 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = Microsoft Hv
36 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 4
36 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
36 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
36 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
36 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
36 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
36 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
37 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
37 [140144103512000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
37 [140144103512000] INFO perfrun.launcher <> - Application exit code: 0
37 [140144103512000] INFO perfrun.launcher <> - Exit code: 0
